Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
Junk Collector	DDY2	J-YB01	Warrior/Effect	Light	5	1000	2200		ocg	You can remove from play this face-up card and 1 Normal Trap Card in your Graveyard to have this card gain the same effect as the removed from play Normal Trap Card. This effect can be activated during either player's turn.
Mono Synchron	DE03	J-D3G0	Machine/Tuner	Dark	1	0	0		ocg	If this card is used as a Synchro Material Monster, the other Synchro Material Monsters must be Level 4 or lower Machine or Warrior-Type monsters and are treated as Level 1 monsters.
Steam Synchron	DE04	J-D4G0	Machine/Tuner	Water	3	600	800		ocg	During your opponent's Main Phase: You can Synchro Summon using this face-up card you control as a Synchro Material Monster.
Hazy Flame Hyppogrif	JF12	J-JLA7	Pyro/Effect	Fire	6	2100	200		ocg	Your opponent cannot target this card with card effects. Once per turn: You can Tribute 1 FIRE monster you control; this card gains 300 ATK.
Alpaca the Holy Beast of the Forest	JF12	J-JLA8	Beast/Effect	Earth	7	2700	2100		ocg	This card gains the following effect depending on its battle position. *Attack Position: Face-up Attack Position Insect, Plant, and Winged Beast-Type monsters you control cannot be destroyed by battle. *Defense Position: Face-up Defense Position Insect, Plant, and Winged Beast-Type monsters you control cannot be targeted or be destroyed by card effects.
Sanctuary of the Spellcasters	JF13	J-JMA0	Continuous Spell						ocg	When a monster, except a Spellcaster-Type monster, is Normal or Special Summoned to your opponent's side of the field while you control another Spell Card and your opponent controls no Spell Cards (except during the Damage Step): That monster cannot attack or activate its effects this turn. If you do not control a Spellcaster-Type monster, destroy this card.
Bright White Dragon Wyburster	JF13	J-JMA6	Dragon/Effect	Light	4	1700	1800		ocg	Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by banishing 1 DARK monster from your Graveyard, and cannot be Special Summoned by other ways. You can only Special Summon 1 "Bright White Dragon Wyburster" per turn. If this card is sent from the field to the Graveyard: You can add 1 "Darkness Dragon Collapserpent" from your Deck to your hand.
Kodomo Dragon	JF13	J-JMA7	Dragon/Effect	Earth	3	100	200		ocg	If this card is sent to the Graveyard: You can Special Summon 1 Dragon-Type monster from your hand. During the turn you activate this effect, you cannot Special Summon monsters other than Dragon-Type monsters, and you cannot conduct your Battle Phase the turn you activate this effect. You can only use the effect of "Kodomo Dragon" once per turn.
Vulcan the Divine	JF13	J-JMA9	Beast-Warrior/Synchro/Effect	Fire	6	2000	1600		ocg	1 Tuner + 1 or more non-Tuner monsters. When this card is Synchro Summoned: Target 1 face-up card you control and 1 face-up card your opponent controls; return those targets to the hand. This turn, you cannot activate cards, or the effects of cards, with the same name as those returned to the hand by this effect. You can only use the effect of "Vulcan the Divine" once per turn.
Token Christmas	JF13	J-JMB0	Normal Trap						ocg	Tribute 2 or more Tokens with the same Level, then target that many monsters in your Graveyard, with the same Level as the Tributed Tokens; Special Summon those targets. Their effects are negated, and they are destroyed during the End Phase.
