Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
Aurora Paragon	EXVC	AuroraParagon	Fairy/Effect	Light	4	1500	1000			Neither player can Special Summon monsters. When another monster is Normal Summoned to either player's side of the field, destroy this card.
Blackwing - Hillen the Tengu-wind	EXVC	BlackwingHillentheTenguwind	Winged Beast/Tuner	Dark	5	0	2300			When you take 2000 or more Battle Damage from your opponent's monster's direct attack while this card is in the Graveyard, you can select 1 Level 3 or lower "Blackwing" monster in your Graveyard. Special Summon that monster and this card from the Graveyard. Their effects are negated. Each player can only use the effect of "Blackwing - Hillen the Tengu-wind" once per Duel.
Blackwing - Jin the Rain Shadow	EXVC	BlackwingJintheRainShadow	Winged Beast/Tuner	Dark	1	600	500			If this card battles a face-up monster with DEF equal to or less than this card's ATK, destroy that monster at the start of the Damage Step (without damage calculation).
Blackwing - Kogarashi the Wanderer	EXVC	BlackwingKogarashitheWanderer	Winged Beast/Tuner	Dark	6	2300	1600			When a face-up "Blackwing" monster you control is destroyed by a card effect and sent to the Graveyard, you can Special Summon this card from your hand. When you Synchro Summon using this card as a Synchro Material Monster, your opponent cannot activate cards or effects.
Blue Rose Dragon	EXVC	BlueRoseDragon	Dragon/Effect	Dark	4	1600	1200			When this card is destroyed and sent from the field to the Graveyard, you can select 1 "Black Rose Dragon" or 1 Plant-Type monster in your Graveyard, and Special Summon it.
Boon of the Meklord Emperor	EXVC	BoonoftheMeklordEmperor	Normal Spell							Activate only if the only face-up monsters on the field are 2 "Meklord" monsters. Draw 2 cards. You cannot conduct your Battle Phase the turn you activate this card.
Brain Hazard	EXVC	BrainHazard	Continuous Trap							Select 1 of your removed from play Psychic-Type monsters, and Special Summon it. When this card is removed from the field, destroy that monster. When that monster is destroyed, destroy this card.
Buster Blaster	EXVC	BusterBlaster	Machine/Union	Earth	1	0	0			Once per turn, during your Main Phase, you can equip this card to a monster you control as an Equip Card, OR unequip it to Special Summon this card in face-up Attack Position. While equipped to a monster by this effect, the equipped monster loses 500 ATK and DEF. If the equipped monster destroys an opponent's monster by battle, destroy all face-up monsters on the field with the same Monster Type as the destroyed monster. (A monster can only be equipped with 1 Union Monster at a time. If the equipped monster would be destroyed, destroy this card instead.)
Chaos Infinity	EXVC	ChaosInfinity	Normal Trap							Change all Defense Position monsters on the field to face-up Attack Position. Then, Special Summon 1 "Meklord" monster from your Deck or Graveyard. Its effect(s) is negated, and it is destroyed during the End Phase.
Clock Resonator	EXVC	ClockResonator	Fiend/Tuner	Earth	3	1200	600			Once per turn, this face-up Defense Position card cannot be destroyed by battle or by card effects.
Contact with the Aquamirror	EXVC	ContactwiththeAquamirror	Normal Spell							If you control a face-up WATER monster, activate 1 of these effects. If you control a face-up WATER Ritual Monster, you can activate both of these effects: *Look at all Set cards in your opponent's Spell & Trap Card Zones. *Look at the 2 top cards of either player's Deck and return them to the top of the Deck in any order.
Debunk	EXVC	Debunk	Counter Trap							Negate the activation of an Effect Monster's effect that activates in the hand or in the Graveyard, and remove it from play.
Dodger Dragon	EXVC	DodgerDragon	Dragon/Effect	Wind	4	1900	1200			The Normal Summon of this card cannot be negated. Your opponent cannot activate Counter Trap Cards the turn this card is Normal Summoned.
Elder of the Six Samurai	EXVC	ElderoftheSixSamurai	Warrior/Effect	Earth	3	400	0			If your opponent controls a monster and you control no monsters, you can Special Summon this card from your hand.
